*** Cities are numbered 0..n-1 and each line shows a leg from one city to the next 
 followed by the distance rounded to integers***

2950 2950
2321 2672 9
2672 1929 6
1929 1852 4
1852 2870 11
2870 1055 10
1055 1830 10
1830 1263 12
1263 14 5
14 985 6
985 906 8
906 2439 8
2439 242 8
242 1473 6
1473 680 6
680 1329 6
1329 548 6
548 617 3
617 737 9
737 1698 3
1698 662 10
662 435 6
435 1720 4
1720 1848 12
1848 1574 5
1574 1129 7
1129 1832 4
1832 2645 7
2645 2590 6
2590 2612 6
2612 686 10
686 2792 7
2792 40 5
40 1921 10
1921 2550 9
2550 2471 5
2471 2311 10
2311 2283 4
2283 2063 7
2063 1982 9
1982 1238 8
1238 1506 8
1506 1869 4
1869 590 4
590 1006 11
1006 227 4
227 1668 4
1668 1586 6
1586 1215 10
1215 1767 8
1767 1469 6
1469 1168 8
1168 1086 3
1086 41 5
41 1234 6
1234 1346 3
1346 2053 10
2053 561 8
561 2646 6
2646 1245 6
1245 2296 5
2296 2777 7
2777 1748 7
1748 869 7
869 392 7
392 2813 6
2813 1512 8
1512 1782 11
1782 362 11
362 1471 14
1471 514 16
514 175 8
175 1303 14
1303 2661 4
2661 2903 7
2903 2744 7
2744 2387 8
2387 495 8
495 1743 5
1743 2150 6
2150 2044 6
2044 900 4
900 2709 6
2709 526 5
526 404 3
404 945 6
945 601 9
601 2260 6
2260 1932 7
1932 1535 4
1535 2064 7
2064 1969 6
1969 1978 8
1978 2186 6
2186 2378 6
2378 2457 8
2457 2741 7
2741 2551 4
2551 2281 6
2281 1616 8
1616 1253 8
1253 462 2
462 15 4
15 1995 6
1995 292 5
292 1174 5
1174 999 7
999 1187 5
1187 1305 3
1305 1924 8
1924 64 6
64 949 6
949 2368 7
2368 941 11
941 921 2
921 1100 7
1100 1490 7
1490 2139 4
2139 1571 3
1571 1328 5
1328 2117 10
2117 2575 7
2575 1068 10
1068 2424 13
2424 2806 4
2806 2521 6
2521 1738 9
1738 2686 8
2686 2324 7
2324 808 7
808 2317 9
2317 2544 10
2544 2774 8
2774 1607 8
1607 2313 4
2313 1970 6
1970 2205 6
2205 1045 9
1045 1617 2
1617 1200 5
1200 1449 11
1449 1304 10
1304 2339 10
2339 146 11
146 1134 4
1134 2375 6
2375 1520 4
1520 301 6
301 312 4
312 565 7
565 108 7
108 344 8
344 390 3
390 656 4
656 1799 6
1799 148 16
148 948 19
948 636 5
636 1373 5
1373 1687 9
1687 233 6
233 1209 6
1209 2502 7
2502 2707 8
2707 20 7
20 932 6
932 1933 6
1933 1033 4
1033 1211 10
1211 1543 4
1543 1073 9
1073 582 6
582 317 3
317 358 5
358 370 4
370 726 5
726 665 9
665 1516 11
1516 1380 8
1380 1040 4
1040 357 7
357 2017 6
2017 1464 6
1464 107 5
107 1025 5
1025 1075 7
1075 1453 7
1453 1722 6
1722 1660 7
1660 1777 9
1777 1558 8
1558 2446 9
2446 2602 4
2602 2141 7
2141 2058 8
2058 2109 10
2109 2557 5
2557 2220 7
2220 2065 5
2065 1181 9
1181 1064 6
1064 2266 7
2266 1104 7
1104 1360 8
1360 1511 3
1511 2068 7
2068 2408 6
2408 2820 4
2820 2370 7
2370 950 11
950 2344 8
2344 2215 8
2215 2126 5
2126 2350 9
2350 1604 6
1604 2034 5
2034 666 6
666 573 4
573 31 4
31 996 4
996 497 7
497 600 7
600 2687 9
2687 2379 4
2379 872 6
872 1863 6
1863 621 4
621 1599 7
1599 279 6
279 396 4
396 1999 7
1999 2587 8
2587 878 6
878 1682 12
1682 2929 7
2929 2462 4
2462 1256 7
1256 2712 9
2712 373 8
373 2345 4
2345 2447 6
2447 2431 8
2431 2607 7
2607 128 7
128 1762 9
1762 2210 6
2210 1528 4
1528 372 12
372 1028 8
1028 482 9
482 2793 6
2793 1224 9
1224 2719 10
2719 2177 7
2177 990 8
990 307 6
307 1170 9
1170 1421 5
1421 2252 9
2252 2670 9
2670 587 8
587 2423 6
2423 1991 6
1991 1619 5
1619 1757 7
1757 2705 6
2705 2140 7
2140 194 6
194 1691 8
1691 2450 8
2450 1350 10
1350 2765 5
2765 2323 4
2323 1242 4
1242 2326 7
2326 1730 6
1730 2807 8
2807 2682 10
2682 2583 8
2583 2676 7
2676 2310 7
2310 2288 6
2288 2291 4
2291 1225 7
1225 1870 8
1870 436 11
436 338 2
338 532 6
532 1221 8
1221 11 4
11 977 4
977 757 3
757 651 6
651 2393 9
2393 1556 5
1556 2199 6
2199 1455 6
1455 1688 6
1688 1430 4
1430 467 6
467 101 8
101 930 4
930 803 12
803 1770 8
1770 1523 6
1523 2224 4
2224 2111 6
2111 1309 5
1309 1173 8
1173 1851 3
1851 126 5
126 723 8
723 152 8
152 104 6
104 1008 5
1008 1732 14
1732 1696 6
1696 2287 5
2287 1432 9
1432 1891 7
1891 2453 4
2453 296 14
296 2009 7
2009 931 3
931 758 10
758 2188 8
2188 1297 3
1297 2650 6
2650 49 5
49 922 9
922 925 5
925 1167 8
1167 1726 6
1726 2722 13
2722 2222 15
2222 260 7
260 1157 12
1157 1236 11
1236 204 8
204 2128 6
2128 1149 4
1149 2657 11
2657 2620 9
2620 1496 7
1496 529 4
529 191 11
191 1067 3
1067 411 13
411 1255 6
1255 1230 6
1230 2217 10
2217 56 7
56 2684 4
2684 2077 6
2077 2853 7
2853 2293 5
2293 1953 15
1953 1579 4
1579 229 6
229 1793 7
1793 929 4
929 844 9
844 1262 11
1262 2161 4
2161 786 4
786 1555 4
1555 1495 4
1495 1418 9
1418 379 2
379 1663 4
1663 1132 6
1132 521 7
521 630 4
630 783 9
783 555 10
555 78 8
78 345 7
345 6 7
6 72 9
72 681 5
681 695 6
695 389 6
389 592 6
592 1998 5
1998 800 8
800 2037 5
2037 2122 4
2122 39 8
39 1491 6
1491 1705 7
1705 1966 6
1966 1620 10
1620 2196 6
2196 2559 9
2559 1589 6
1589 1940 6
1940 201 12
201 2328 8
2328 559 8
559 942 4
942 463 10
463 1951 13
1951 137 13
137 571 4
571 428 9
428 643 4
643 1598 7
1598 83 5
83 611 9
611 543 8
543 740 7
740 1665 4
1665 1054 8
1054 746 4
746 261 23
261 303 12
303 1120 6
1120 492 8
492 825 7
825 44 6
44 871 6
871 2347 7
2347 1497 7
1497 1994 6
1994 1333 8
1333 923 8
923 749 8
749 1031 5
1031 2250 5
2250 768 4
768 1631 6
1631 2377 9
2377 2135 8
2135 2900 7
2900 2638 6
2638 2866 7
2866 1425 10
1425 2854 12
2854 2025 8
2025 2340 7
2340 2811 6
2811 2891 10
2891 437 6
437 86 7
86 1363 6
1363 315 4
315 1515 8
1515 2095 8
2095 1266 7
1266 1231 6
1231 1747 6
1747 2728 6
2728 2873 5
2873 2840 8
2840 729 5
729 1235 6
1235 2668 7
2668 763 7
763 1760 10
1760 1964 8
1964 2234 4
2234 1679 9
1679 33 8
33 376 7
376 2472 10
2472 1988 9
1988 631 7
631 2566 5
2566 2176 8
2176 1503 7
1503 2018 9
2018 2586 10
2586 2376 12
2376 2934 6
2934 2096 5
2096 1144 7
1144 1308 4
1308 1385 6
1385 1472 6
1472 36 5
36 1276 9
1276 703 9
703 2007 3
2007 2131 7
2131 2051 5
2051 2858 10
2858 2390 5
2390 1037 5
1037 2435 6
2435 1910 14
1910 343 9
343 1145 6
1145 1413 5
1413 2494 8
2494 1693 6
1693 1035 9
1035 2490 8
2490 2312 8
2312 845 7
845 2766 9
2766 1583 8
1583 1214 6
1214 1401 7
1401 2048 4
2048 1082 10
1082 281 3
281 2362 9
2362 1182 6
1182 1038 5
1038 766 8
766 1150 5
1150 1539 8
1539 794 7
794 2010 7
2010 2014 2
2014 1752 8
1752 2 5
2 2190 4
2190 1429 13
1429 1521 7
1521 1662 10
1662 1108 7
1108 2120 7
2120 1906 5
1906 1391 12
1391 1001 7
1001 1842 12
1842 811 8
811 1865 5
1865 1463 7
1463 2294 9
2294 1633 7
1633 1971 9
1971 417 12
417 2427 3
2427 484 8
484 179 4
179 1349 6
1349 1603 6
1603 1434 4
1434 2617 8
2617 1484 8
1484 633 8
633 1904 8
1904 1102 5
1102 2167 3
2167 1185 9
1185 2534 9
2534 1529 6
1529 1824 9
1824 618 4
618 581 4
581 1296 8
1296 62 7
62 1403 7
1403 1110 9
1110 1498 7
1498 759 7
759 669 5
669 1416 5
1416 732 7
732 1085 7
1085 1570 4
1570 1269 5
1269 371 7
371 113 4
113 671 7
671 1240 4
1240 1195 9
1195 1766 5
1766 1218 9
1218 1128 8
1128 635 8
635 361 8
361 424 8
424 1981 6
1981 1015 9
1015 1450 3
1450 907 8
907 293 5
293 776 4
776 812 9
812 1011 5
1011 584 5
584 1368 5
1368 1502 9
1502 1063 10
1063 889 7
889 1700 7
1700 1056 6
1056 21 5
21 688 6
688 306 5
306 2654 7
2654 2478 8
2478 69 9
69 781 4
781 381 7
381 546 7
546 863 4
863 1612 17
1612 1311 23
1311 1439 3
1439 649 6
649 1919 6
1919 1840 8
1840 2553 7
2553 724 11
724 122 6
122 961 7
961 1088 9
1088 1241 4
1241 824 5
824 294 3
294 339 6
339 253 8
253 1701 12
1701 282 8
282 841 6
841 71 7
71 422 6
422 1564 7
1564 802 4
802 459 4
459 1105 7
1105 894 8
894 1689 6
1689 1960 9
1960 1069 4
1069 951 12
951 66 5
66 672 4
672 1935 8
1935 1684 4
1684 1636 6
1636 432 7
432 1704 9
1704 2600 7
2600 887 8
887 2027 5
2027 2367 10
2367 1260 8
1260 1337 4
1337 469 6
469 678 10
678 1194 5
1194 1458 11
1458 1272 4
1272 207 7
207 1325 3
1325 903 9
903 1879 11
1879 1896 7
1896 1844 8
1844 2200 7
2200 19 4
19 2649 3
2649 496 10
496 877 9
877 1079 8
1079 1566 7
1566 815 7
815 1808 8
1808 1317 7
1317 1339 12
1339 1208 4
1208 1116 10
1116 1542 12
1542 1785 8
1785 1916 8
1916 793 8
793 2285 9
2285 2314 8
2314 1838 6
1838 2273 7
2273 1047 10
1047 2577 8
2577 1629 10
1629 1761 12
1761 1289 15
1289 2032 9
2032 2178 10
2178 1030 12
1030 174 6
174 1796 5
1796 861 4
861 1036 8
1036 1389 5
1389 919 4
919 939 6
939 2245 6
2245 538 7
538 1934 6
1934 1191 6
1191 1509 6
1509 173 6
173 2824 9
2824 750 8
750 547 5
547 1465 4
1465 563 4
563 321 3
321 277 7
277 933 9
933 328 8
328 2265 10
2265 2779 12
2779 2171 15
2171 1651 9
1651 2002 17
2002 1764 15
1764 1125 12
1125 784 5
784 916 5
916 82 6
82 936 17
936 957 6
957 994 7
994 623 7
623 709 10
709 702 8
702 558 8
558 1275 12
1275 659 15
659 1941 9
1941 1885 7
1885 1815 7
1815 1292 11
1292 1485 6
1485 1996 6
1996 627 13
627 2033 7
2033 252 10
252 937 13
937 1406 23
1406 2407 5
2407 2699 12
2699 87 7
87 952 10
952 1534 11
1534 2452 11
2452 622 14
622 1159 7
1159 735 8
735 311 6
311 1222 6
1222 326 7
326 183 8
183 770 10
770 476 12
476 1098 8
1098 721 9
721 314 10
314 525 6
525 1293 7
1293 1427 10
1427 478 2
478 380 2
380 1186 6
1186 974 8
974 2491 9
2491 2277 10
2277 30 6
30 867 10
867 616 8
616 150 4
150 679 5
679 1810 6
1810 1866 11
1866 1364 10
1364 1478 8
1478 163 7
163 2263 7
2263 1530 6
1530 2232 8
2232 2331 4
2331 2185 9
2185 1114 12
1114 1746 6
1746 1695 4
1695 780 4
780 1980 6
1980 1347 12
1347 2621 12
2621 2769 8
2769 2464 9
2464 1812 8
1812 2275 8
2275 2305 8
2305 2414 5
2414 2819 10
2819 1483 3
1483 1645 6
1645 1046 7
1046 2426 3
2426 59 4
59 2768 8
2768 2632 11
2632 2760 11
2760 2396 10
2396 2325 6
2325 1595 8
1595 2356 7
2356 2814 6
2814 2460 3
2460 2467 12
2467 522 8
522 1594 8
1594 1365 8
1365 1158 9
1158 1719 5
1719 1375 5
1375 2485 8
2485 1501 6
1501 1493 4
1493 1381 5
1381 2666 6
2666 2144 6
2144 1664 7
1664 161 6
161 2724 8
2724 1987 8
1987 2207 10
2207 2477 7
2477 2075 4
2075 1601 5
1601 1172 15
1172 2276 5
2276 2284 5
2284 2152 7
2152 1544 7
1544 1756 6
1756 2523 6
2523 1533 10
1533 1370 5
1370 764 6
764 1677 6
1677 1142 7
1142 1834 7
1834 619 12
619 124 9
124 722 6
722 1307 6
1307 426 6
426 2121 5
2121 2441 5
2441 38 9
38 2753 8
2753 2059 4
2059 2572 6
2572 2837 8
2837 2721 8
2721 210 7
210 2526 7
2526 2474 3
2474 2398 9
2398 2083 8
2083 1775 8
1775 1115 6
1115 1845 7
1845 2716 6
2716 2021 7
2021 378 9
378 2300 4
2300 1420 7
1420 1670 10
1670 1968 9
1968 1267 10
1267 1479 6
1479 2788 8
2788 460 11
460 1138 5
1138 2547 10
2547 2381 13
2381 797 7
797 788 6
788 2231 6
2231 2449 5
2449 186 7
186 1804 7
1804 1310 7
1310 1280 5
1280 1165 6
1165 2082 5
2082 16 7
16 144 9
144 1461 4
1461 1909 6
1909 1792 4
1792 2410 6
2410 1973 6
1973 2295 11
2295 1992 6
1992 206 12
206 905 13
905 499 8
499 2197 7
2197 1180 11
1180 218 14
218 2052 14
2052 717 8
717 1428 6
1428 1477 3
1477 1745 4
1745 419 9
419 612 9
612 1911 8
1911 713 5
713 572 9
572 421 6
421 754 3
754 588 4
588 319 4
319 456 8
456 1561 10
1561 99 21
99 280 10
280 121 11
121 323 6
323 276 11
276 384 4
384 356 10
356 756 3
756 714 7
714 1937 5
1937 452 11
452 976 4
976 2338 6
2338 962 12
962 58 7
58 909 6
909 879 7
879 628 6
628 840 5
840 620 17
620 399 6
399 127 7
127 503 4
503 1136 8
1136 857 10
857 775 6
775 741 7
741 1097 13
1097 958 7
958 318 7
318 677 6
677 355 11
355 828 8
828 520 8
520 728 11
728 642 8
642 416 6
416 2371 7
2371 18 4
18 963 6
963 1541 4
1541 1183 7
1183 1900 8
1900 2614 8
2614 2001 8
2001 1826 11
1826 75 10
75 675 5
675 823 5
823 1672 6
1672 1107 4
1107 604 9
604 1426 5
1426 1359 8
1359 2438 9
2438 1287 7
1287 2798 6
2798 182 7
182 2267 6
2267 2542 7
2542 2085 6
2085 116 9
116 2270 5
2270 1947 7
1947 769 8
769 2050 10
2050 1559 7
1559 2678 6
2678 1807 6
1807 2762 4
2762 2609 10
2609 2731 4
2731 2094 10
2094 881 8
881 1419 6
1419 1686 7
1686 1049 8
1049 747 9
747 153 7
153 826 6
826 2114 9
2114 2335 9
2335 290 4
290 308 10
308 799 10
799 2061 8
2061 692 7
692 1956 9
1956 1813 7
1813 830 7
830 10 7
10 860 8
860 1162 9
1162 472 7
472 2194 5
2194 2784 8
2784 1798 10
1798 2351 10
2351 1549 4
1549 189 4
189 1507 4
1507 2871 5
2871 2685 5
2685 646 6
646 1091 4
1091 1524 9
1524 1334 8
1334 2106 7
2106 1637 12
1637 1802 7
1802 2537 12
2537 1790 8
1790 171 6
171 2863 6
2863 1912 8
1912 2538 5
2538 2626 8
2626 1873 4
1873 1871 6
1871 2455 8
2455 2656 11
2656 2417 6
2417 2493 9
2493 2720 5
2720 1451 10
1451 2209 4
2209 2874 8
2874 2539 6
2539 1277 8
1277 76 10
76 1642 4
1642 1608 4
1608 2877 8
2877 2256 8
2256 661 12
661 853 7
853 1545 8
1545 494 7
494 920 9
920 2633 8
2633 1414 5
1414 2246 8
2246 1396 6
1396 2510 8
2510 2181 6
2181 1649 8
1649 516 5
516 1299 10
1299 1628 8
1628 1487 6
1487 807 8
807 1213 4
1213 2249 4
2249 1860 5
1860 2444 6
2444 2732 8
2732 1526 11
1526 1609 3
1609 212 7
212 2020 7
2020 74 8
74 1062 7
1062 1122 8
1122 1784 6
1784 2138 8
2138 1320 6
1320 91 4
91 1124 7
1124 940 8
940 208 6
208 1592 5
1592 1220 4
1220 1867 4
1867 1890 6
1890 2771 10
2771 235 16
235 2242 7
2242 2841 8
2841 251 16
251 2944 8
2944 1692 7
1692 2520 7
2520 699 8
699 80 9
80 1537 8
1537 1356 8
1356 1773 7
1773 97 8
97 1788 7
1788 79 7
79 2589 6
2589 2662 7
2662 2280 8
2280 2875 7
2875 149 8
149 2588 8
2588 2911 10
2911 2703 4
2703 2254 4
2254 138 6
138 2601 7
2601 35 6
35 1990 4
1990 1290 9
1290 2739 10
2739 2230 6
2230 2271 6
2271 88 6
88 2081 7
2081 2380 4
2380 2901 7
2901 2787 5
2787 2596 10
2596 232 4
232 1475 7
1475 2940 6
2940 2931 8
2931 2939 12
2939 2948 13
2948 2298 9
2298 2201 6
2201 77 6
77 2451 6
2451 1938 8
1938 2810 6
2810 147 8
147 491 4
491 1078 8
1078 2251 5
2251 2433 10
2433 2881 9
2881 2454 8
2454 1467 3
1467 2206 4
2206 120 5
120 1729 6
1729 890 10
890 1997 6
1997 73 8
73 387 4
387 1402 7
1402 1965 10
1965 2815 10
2815 2315 10
2315 1247 10
1247 4 8
4 498 9
498 541 6
541 2086 8
2086 2320 9
2320 2401 7
2401 2182 7
2182 1657 9
1657 2098 11
2098 2369 6
2369 1811 6
1811 2610 5
2610 2618 9
2618 1814 8
1814 1171 6
1171 2244 8
2244 2278 11
2278 324 12
324 1958 9
1958 2897 9
2897 1928 10
1928 1074 6
1074 2330 11
2330 2087 6
2087 2581 4
2581 42 6
42 441 5
441 1753 8
1753 2560 10
2560 2695 9
2695 2677 7
2677 2499 4
2499 2932 8
2932 249 11
249 2391 7
2391 1445 8
1445 220 5
220 2905 5
2905 2919 9
2919 2693 6
2693 2879 6
2879 2354 8
2354 2942 11
2942 2785 8
2785 2922 7
2922 2947 4
2947 2924 5
2924 2946 8
2946 2605 13
2605 2212 5
2212 2580 10
2580 2895 7
2895 2445 7
2445 1854 2
1854 2174 7
2174 2844 8
2844 1039 8
1039 2938 4
2938 1386 10
1386 2257 4
2257 2143 10
2143 2153 6
2153 2885 8
2885 213 7
213 1023 4
1023 1914 4
1914 2024 10
2024 2343 8
2343 2636 6
2636 2729 4
2729 1141 6
1141 2569 10
2569 1197 11
1197 779 10
779 866 7
866 1332 10
1332 848 10
848 2372 11
2372 420 4
420 2047 8
2047 2509 6
2509 2532 11
2532 2752 6
2752 2504 7
2504 2754 6
2754 2443 7
2443 2360 8
2360 2706 7
2706 1246 6
1246 139 4
139 1795 4
1795 2794 3
2794 2816 4
2816 2549 5
2549 2054 6
2054 156 1
156 258 8
258 2594 3
2594 2770 5
2770 262 8
262 2108 6
2108 2088 10
2088 2631 7
2631 1438 8
1438 2756 7
2756 2238 7
2238 2056 4
2056 954 5
954 2912 9
2912 1151 6
1151 2193 10
2193 2786 5
2786 2535 8
2535 2046 8
2046 505 10
505 1489 7
1489 1780 16
1780 2203 10
2203 110 4
110 1324 10
1324 1111 9
1111 2097 6
2097 1899 7
1899 1902 10
1902 193 7
193 968 7
968 2124 10
2124 1754 9
1754 470 17
470 487 11
487 185 4
185 1106 10
1106 1189 10
1189 1710 8
1710 1492 6
1492 274 12
274 1442 5
1442 1547 8
1547 1057 6
1057 843 7
843 164 7
164 849 8
849 2727 10
2727 2148 6
2148 1217 10
1217 211 8
211 368 10
368 842 8
842 1232 7
1232 1273 4
1273 1052 7
1052 2943 10
2943 2308 11
2308 1898 14
1898 447 8
447 934 7
934 3 6
3 1065 6
1065 1930 8
1930 577 7
577 1946 7
1946 364 11
364 1872 8
1872 2868 11
2868 2856 8
2856 2608 8
2608 2403 10
2403 2800 8
2800 2910 8
2910 2915 6
2915 2865 16
2865 176 9
176 2893 11
2893 2641 7
2641 2042 10
2042 2738 10
2738 2415 12
2415 2388 6
2388 1548 6
1548 2480 14
2480 2402 6
2402 2923 7
2923 1470 8
1470 2776 4
2776 2892 10
2892 1285 10
1285 2484 8
2484 2355 4
2355 2930 7
2930 2925 7
2925 32 6
32 1436 4
1436 816 8
816 2908 4
2908 2941 8
2941 2916 4
2916 2928 6
2928 2927 11
2927 2933 13
2933 2842 9
2842 2821 9
2821 2349 6
2349 2073 6
2073 244 7
244 2170 7
2170 1847 5
1847 2836 7
2836 2838 8
2838 2531 8
2531 639 10
639 2411 10
2411 2172 7
2172 2406 5
2406 2711 7
2711 2562 12
2562 1462 7
1462 2757 10
2757 47 4
47 978 7
978 1546 7
1546 2514 6
2514 1621 6
1621 2187 12
2187 222 7
222 1943 10
1943 2482 5
2482 700 12
700 544 9
544 716 9
716 719 11
719 847 10
847 1454 9
1454 564 8
564 891 11
891 973 10
973 596 9
596 817 10
817 986 12
986 453 6
453 1119 8
1119 1027 10
1027 327 6
327 12 7
12 882 15
882 269 9
269 2103 15
2103 180 14
180 801 10
801 515 7
515 1060 6
1060 474 8
474 413 8
413 1143 6
1143 567 11
567 132 17
132 481 8
481 2092 22
2092 423 17
423 970 14
970 650 10
650 141 12
141 1551 10
1551 540 13
540 1041 8
1041 1843 6
1843 2015 14
2015 1887 10
1887 2515 15
2515 1408 11
1408 1198 13
1198 202 8
202 1032 4
1032 1979 14
1979 1625 12
1625 1367 18
1367 471 7
471 1486 11
1486 1977 8
1977 1791 13
1791 967 10
967 1644 4
1644 111 7
111 2221 7
2221 2536 10
2536 2091 10
2091 2043 9
2043 2429 6
2429 1087 10
1087 28 9
28 2008 7
2008 1066 6
1066 2613 9
2613 2524 10
2524 2366 12
2366 1805 4
1805 2156 6
2156 2080 7
2080 2748 7
2748 2301 16
2301 1647 21
1647 245 8
245 1706 6
1706 2255 12
2255 1522 7
1522 1424 10
1424 1759 21
1759 2598 18
2598 670 14
670 89 5
89 2213 7
2213 798 9
798 221 10
221 751 6
751 2104 7
2104 2198 10
2198 2860 8
2860 1781 9
1781 1939 5
1939 2079 8
2079 2416 7
2416 1893 11
1893 1160 6
1160 1634 4
1634 818 7
818 1626 6
1626 1972 4
1972 2827 10
2827 2208 10
2208 2363 7
2363 2119 11
2119 2564 8
2564 1271 6
1271 1749 6
1749 135 2
135 187 14
187 2133 10
2133 2781 4
2781 832 7
832 1876 14
1876 2949 8
2949 595 15
595 1517 8
1517 1155 7
1155 2235 4
2235 2604 7
2604 1441 4
1441 2763 7
2763 70 7
70 2522 5
2522 1298 9
1298 1184 6
1184 142 4
142 2361 6
2361 1270 7
1270 1728 10
1728 1382 4
1382 2906 14
2906 2489 12
2489 2778 5
2778 2461 8
2461 2817 6
2817 2801 10
2801 2882 4
2882 157 6
157 2146 4
2146 2500 8
2500 2248 12
2248 1703 8
1703 2307 9
2307 98 10
98 46 4
46 248 4
248 94 4
94 93 8
93 145 9
145 178 27
178 2511 7
2511 2016 4
